"id_estudiante";"plan_estudios";"sede";"codigo_postal";"localidad";"provincia";"pais";"sexo";"cohorte"
83007;403;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83008;308;"SEDE LUJAN";1629;"PILAR";"BUENOS AIRES";"ARGENTINA";"F";2003
83009;308;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83012;308;"SEDE LUJAN";2840;"GUALEGUAY";"ENTRE RIOS";"ARGENTINA";"M";2003
83014;508;"SEDE LUJAN";1748;"LAS MALVINAS";"BUENOS AIRES";"ARGENTINA";"F";2003
83015;308;"SEDE LUJAN";1723;"M. ACOSTA";"BUENOS AIRES";"ARGENTINA";"M";2003
83016;2704;"SEDE LUJAN";1405;"CAP. FEDERAL";"CAPITAL FEDERAL";"ARGENTINA";"F";2003
83017;1603;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83018;1602;"SEDE LUJAN";1706;"HAEDO";"BUENOS AIRES";"ARGENTINA";"M";2003
83019;309;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83020;804;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"F";2003
83021;107;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83022;207;"SEDE LUJAN";6720;"S.A.DE GILES";"BUENOS AIRES";"ARGENTINA";"F";2003
83023;509;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83025;309;"D.A. MORENO";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83026;508;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83027;2704;"SEDE LUJAN";1635;"PTE. DERQUI";"BUENOS AIRES";"ARGENTINA";"F";2003
83029;2504;"SEDE LUJAN";2812;"E.DE LA CRUZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83030;2704;"SEDE LUJAN";1633;"FATIMA";"BUENOS AIRES";"ARGENTINA";"M";2003
83031;2704;"SEDE LUJAN";1661;"BELLA VISTA";"BUENOS AIRES";"ARGENTINA";"M";2003
83032;207;"SEDE LUJAN";2760;"S.A.DE ARECO";"BUENOS AIRES";"ARGENTINA";"M";2003
83033;1710;"SEDE LUJAN";1900;"LA PLATA";"BUENOS AIRES";"ARGENTINA";"F";2003
83034;308;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83035;308;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83036;804;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83037;308;"D.A. MORENO";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83038;508;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83039;308;"D.A. MORENO";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83041;207;"SEDE LUJAN";1727;"MARCOS PAZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83042;1603;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83043;308;"SEDE LUJAN";1629;"VILLA ROSA";"BUENOS AIRES";"ARGENTINA";"M";2003
83044;207;"SEDE LUJAN";7200;"LAS FLORES";"BUENOS AIRES";"ARGENTINA";"M";2003
83045;2504;"SEDE LUJAN";1629;"PILAR";"BUENOS AIRES";"ARGENTINA";"M";2003
83046;2704;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"F";2003
83047;2902;"SEDE LUJAN";7200;"LAS FLORES";"BUENOS AIRES";"ARGENTINA";"F";2003
83048;207;"SEDE LUJAN";6740;"CHACABUCO";"BUENOS AIRES";"ARGENTINA";"M";2003
83049;2704;"SEDE LUJAN";6221;"INT. ALVEAR";"LA PAMPA";"ARGENTINA";"M";2003
83050;1001;"SEDE LUJAN";1752;"L. D.MIRADOR";"BUENOS AIRES";"ARGENTINA";"M";2003
83051;207;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"M";2003
83052;508;"SEDE LUJAN";1742;"PASO DEL REY";"BUENOS AIRES";"ARGENTINA";"F";2003
83053;308;"D.A. MORENO";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83054;308;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83058;804;"SEDE LUJAN";1727;"MARCOS PAZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83059;804;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83060;308;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83062;2902;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83063;1602;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83066;804;"SEDE LUJAN";1714;"ITUZAINGO";"BUENOS AIRES";"ARGENTINA";"F";2003
83067;2504;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83069;2508;"SEDE LUJAN";6720;"S.A.DE GILES";"BUENOS AIRES";"ARGENTINA";"M";2003
83070;308;"D.A. MORENO";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83072;1710;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83073;2704;"SEDE LUJAN";1669;"DEL VISO";"BUENOS AIRES";"ARGENTINA";"F";2003
83074;804;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83075;2704;"SEDE LUJAN";1663;"SAN MIGUEL";"BUENOS AIRES";"ARGENTINA";"M";2003
83076;2902;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83077;1802;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"M";2003
83078;308;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83079;207;"SEDE LUJAN";6720;"S.A.DE GILES";"BUENOS AIRES";"ARGENTINA";"M";2003
83080;603;"SEDE LUJAN";1768;"VILLA MADERO";"BUENOS AIRES";"ARGENTINA";"F";2003
83081;2504;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83083;2504;"SEDE LUJAN";6708;"OPEN DOOR";"BUENOS AIRES";"ARGENTINA";"M";2003
83084;804;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"F";2003
83085;2602;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83086;107;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83087;603;"SEDE LUJAN";1980;"BRANDSEN";"BUENOS AIRES";"ARGENTINA";"F";2003
83088;1001;"SEDE LUJAN";1888;"F. VARELA";"BUENOS AIRES";"ARGENTINA";"F";2003
83089;1601;"SEDE LUJAN";1846;"JOSE MARMOL";"BUENOS AIRES";"ARGENTINA";"M";2003
83090;107;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83092;309;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83093;308;"SEDE LUJAN";1708;"MORON";"BUENOS AIRES";"ARGENTINA";"M";2003
83094;2602;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83095;2504;"SEDE LUJAN";6612;"SUIPACHA";"BUENOS AIRES";"ARGENTINA";"M";2003
83097;1711;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83098;308;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83100;804;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83101;804;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83103;603;"SEDE LUJAN";1716;"LIBERTAD";"BUENOS AIRES";"ARGENTINA";"M";2003
83104;308;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83105;308;"SEDE LUJAN";6725;"C. DE ARECO";"BUENOS AIRES";"ARGENTINA";"M";2003
83106;308;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83107;2704;"SEDE LUJAN";2760;"S.A.DE ARECO";"BUENOS AIRES";"ARGENTINA";"M";2003
83108;2704;"SEDE LUJAN";2760;"S.A.DE ARECO";"BUENOS AIRES";"ARGENTINA";"M";2003
83110;5401;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83111;2902;"SEDE LUJAN";1723;"M. ACOSTA";"BUENOS AIRES";"ARGENTINA";"F";2003
83112;2602;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83113;1802;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83114;1802;"SEDE LUJAN";1629;"PILAR";"BUENOS AIRES";"ARGENTINA";"F";2003
83115;508;"SEDE LUJAN";1629;"PILAR";"BUENOS AIRES";"ARGENTINA";"F";2003
83117;308;"SEDE LUJAN";1744;"LA REJA";"BUENOS AIRES";"ARGENTINA";"M";2003
83118;508;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83119;2508;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83120;207;"SEDE LUJAN";6720;"S.A.DE GILES";"BUENOS AIRES";"ARGENTINA";"M";2003
83121;508;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"F";2003
83123;1602;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83126;1602;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83127;308;"SEDE LUJAN";2760;"S.A.DE ARECO";"BUENOS AIRES";"ARGENTINA";"M";2003
83128;107;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"M";2003
83132;804;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83133;207;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"M";2003
83134;509;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83135;2704;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83137;308;"D.A. MORENO";1742;"PASO DEL REY";"BUENOS AIRES";"ARGENTINA";"F";2003
83138;509;"SEDE LUJAN";6620;"CHIVILCOY";"BUENOS AIRES";"ARGENTINA";"F";2003
83139;2704;"SEDE LUJAN";1686;"HURLINGHAM";"BUENOS AIRES";"ARGENTINA";"F";2003
83140;508;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"M";2003
83141;1710;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83143;403;"SEDE LUJAN";1722;"MERLO";"BUENOS AIRES";"ARGENTINA";"F";2003
83144;508;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"F";2003
83145;403;"SEDE LUJAN";6700;"LUJAN";"BUENOS AIRES";"ARGENTINA";"F";2003
83146;308;"SEDE LUJAN";1748;"G. RODRIGUEZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83149;2704;"SEDE LUJAN";1723;"M. ACOSTA";"BUENOS AIRES";"ARGENTINA";"M";2003
83150;1602;"SEDE LUJAN";1744;"MORENO";"BUENOS AIRES";"ARGENTINA";"M";2003
83152;207;"SEDE LUJAN";1746;"FCO. ALVAREZ";"BUENOS AIRES";"ARGENTINA";"F";2003
83155;308;"SEDE LUJAN";1406;"CAP. FEDERAL";"CAPITAL FEDERAL";"ARGENTINA";"F";2003
83158;804;"SEDE LUJAN";6600;"MERCEDES";"BUENOS AIRES";"ARGENTINA";"F";2003
